Витрина,Критичность,Объём данных (ГБ),Кол-во связей,Качество данных,Сложность изменений,Ошибки в истории,Уровень риска
DWH_Vitrina_71,Низкая,143,6,73,2,5,Низкий
DWH_Vitrina_72,Средняя,188,19,66,9,1,Низкий
DWH_Vitrina_73,Высокая,106,11,66,3,4,Низкий
DWH_Vitrina_74,Низкая,102,3,81,8,5,Низкий
DWH_Vitrina_75,Низкая,33,3,76,6,5,Низкий
DWH_Vitrina_76,Высокая,24,12,62,11,1,Низкий
DWH_Vitrina_77,Низкая,69,1,93,8,1,Низкий
DWH_Vitrina_78,Низкая,64,13,60,4,3,Низкий
DWH_Vitrina_79,Низкая,124,18,68,4,3,Низкий
DWH_Vitrina_80,Высокая,121,5,91,2,2,Низкий
DWH_Vitrina_81,Высокая,93,14,93,8,7,Высокий
DWH_Vitrina_82,Высокая,114,5,75,9,1,Низкий
DWH_Vitrina_83,Низкая,199,11,77,1,3,Низкий
DWH_Vitrina_84,Средняя,97,1,89,8,6,Средний
DWH_Vitrina_85,Низкая,193,21,96,6,3,Низкий
DWH_Vitrina_86,Высокая,179,4,100,5,0,Низкий
DWH_Vitrina_87,Средняя,181,8,64,3,5,Средний
DWH_Vitrina_88,Средняя,152,13,83,4,0,Низкий
DWH_Vitrina_89,Средняя,188,19,84,1,0,Низкий
DWH_Vitrina_90,Высокая,128,21,66,10,2,Низкий
DWH_Vitrina_91,Низкая,18,15,96,5,6,Низкий
DWH_Vitrina_92,Низкая,104,19,98,5,4,Низкий
DWH_Vitrina_93,Средняя,125,13,96,2,2,Низкий
DWH_Vitrina_94,Низкая,81,21,65,6,4,Низкий
DWH_Vitrina_95,Средняя,91,6,67,1,1,Низкий
DWH_Vitrina_96,Низкая,61,7,95,10,7,Низкий
DWH_Vitrina_97,Низкая,50,20,81,8,3,Низкий
DWH_Vitrina_98,Высокая,72,18,71,5,1,Низкий
DWH_Vitrina_99,Низкая,179,15,74,2,1,Низкий
DWH_Vitrina_100,Низкая,170,14,92,10,2,Низкий
DWH_Vitrina_101,Средняя,110,13,65,7,6,Средний
DWH_Vitrina_102,Низкая,62,21,97,5,4,Низкий
DWH_Vitrina_103,Средняя,154,14,68,8,4,Средний
DWH_Vitrina_104,Средняя,99,4,88,3,2,Низкий
DWH_Vitrina_105,Высокая,24,20,85,2,2,Низкий
DWH_Vitrina_106,Средняя,126,20,68,8,0,Низкий
DWH_Vitrina_107,Высокая,177,2,86,7,0,Низкий
DWH_Vitrina_108,Низкая,95,11,75,9,7,Низкий
DWH_Vitrina_109,Высокая,25,7,65,7,1,Низкий
DWH_Vitrina_110,Средняя,14,14,99,10,4,Средний
DWH_Vitrina_111,Высокая,89,17,86,1,6,Высокий
DWH_Vitrina_112,Средняя,193,16,92,6,0,Низкий
DWH_Vitrina_113,Высокая,178,12,63,3,0,Низкий
DWH_Vitrina_114,Средняя,92,21,62,5,5,Средний
DWH_Vitrina_115,Низкая,196,4,93,2,2,Низкий
DWH_Vitrina_116,Низкая,150,16,101,6,7,Низкий
DWH_Vitrina_117,Низкая,98,19,95,6,4,Низкий
DWH_Vitrina_118,Высокая,97,7,62,11,6,Высокий
DWH_Vitrina_119,Низкая,27,13,94,1,6,Низкий
DWH_Vitrina_120,Средняя,161,2,70,1,2,Низкий
DWH_Vitrina_121,Высокая,15,1,93,9,0,Низкий
DWH_Vitrina_122,Низкая,187,16,61,9,7,Низкий
DWH_Vitrina_123,Низкая,74,5,96,5,2,Низкий
DWH_Vitrina_124,Низкая,190,21,64,4,5,Низкий
DWH_Vitrina_125,Средняя,112,17,89,4,0,Низкий
DWH_Vitrina_126,Средняя,172,13,80,2,4,Средний
DWH_Vitrina_127,Средняя,197,12,89,4,5,Средний
DWH_Vitrina_128,Низкая,43,12,94,2,7,Низкий
DWH_Vitrina_129,Низкая,5,19,79,11,5,Низкий
DWH_Vitrina_130,Низкая,6,13,92,10,5,Низкий
DWH_Vitrina_131,Средняя,6,14,82,10,4,Средний
DWH_Vitrina_132,Высокая,98,20,69,6,2,Низкий
DWH_Vitrina_133,Средняя,158,4,62,5,6,Средний
DWH_Vitrina_134,Средняя,15,20,81,4,6,Средний
DWH_Vitrina_135,Низкая,27,1,90,7,3,Низкий
DWH_Vitrina_136,Средняя,82,19,76,5,6,Средний
DWH_Vitrina_137,Низкая,66,14,61,6,3,Низкий
DWH_Vitrina_138,Высокая,85,17,78,10,6,Высокий
DWH_Vitrina_139,Средняя,43,6,88,10,4,Средний
DWH_Vitrina_140,Средняя,17,17,98,9,4,Средний
DWH_Vitrina_141,Низкая,126,11,86,11,1,Низкий
DWH_Vitrina_142,Средняя,145,11,60,11,5,Средний
DWH_Vitrina_143,Высокая,133,6,97,11,0,Низкий
DWH_Vitrina_144,Высокая,98,15,86,2,4,Низкий
DWH_Vitrina_145,Низкая,84,2,67,11,0,Низкий
DWH_Vitrina_146,Высокая,16,4,95,8,1,Низкий
DWH_Vitrina_147,Низкая,50,1,84,7,1,Низкий
DWH_Vitrina_148,Высокая,11,5,76,8,5,Высокий
DWH_Vitrina_149,Высокая,39,12,88,8,2,Низкий
DWH_Vitrina_150,Высокая,111,13,75,4,0,Низкий
DWH_Vitrina_151,Средняя,34,2,95,1,2,Низкий
DWH_Vitrina_152,Низкая,45,18,78,9,1,Низкий
DWH_Vitrina_153,Средняя,112,21,71,11,3,Средний
DWH_Vitrina_154,Низкая,58,14,87,6,6,Низкий
DWH_Vitrina_155,Высокая,189,19,96,10,7,Высокий
DWH_Vitrina_156,Высокая,171,20,93,7,0,Низкий
DWH_Vitrina_157,Низкая,8,2,75,11,7,Низкий
DWH_Vitrina_158,Низкая,59,1,98,2,4,Низкий
DWH_Vitrina_159,Низкая,85,6,80,10,7,Низкий
DWH_Vitrina_160,Средняя,155,9,73,8,6,Средний
DWH_Vitrina_161,Средняя,12,8,72,6,6,Средний
DWH_Vitrina_162,Высокая,150,16,101,2,3,Низкий
DWH_Vitrina_163,Средняя,149,8,67,7,7,Средний
DWH_Vitrina_164,Низкая,190,3,88,9,5,Низкий
DWH_Vitrina_165,Высокая,135,9,74,3,3,Низкий
DWH_Vitrina_166,Высокая,106,19,92,7,5,Высокий
DWH_Vitrina_167,Высокая,54,10,93,4,5,Высокий
DWH_Vitrina_168,Низкая,186,20,64,7,4,Низкий
DWH_Vitrina_169,Низкая,143,7,94,7,1,Низкий
DWH_Vitrina_170,Низкая,10,20,95,3,6,Низкий
DWH_Vitrina_171,Низкая,95,14,79,6,7,Низкий
DWH_Vitrina_172,Средняя,73,1,69,8,6,Средний
DWH_Vitrina_173,Средняя,132,19,69,10,7,Средний
DWH_Vitrina_174,Средняя,72,13,77,10,3,Средний
DWH_Vitrina_175,Средняя,90,21,85,11,2,Низкий
DWH_Vitrina_176,Средняя,56,9,60,4,4,Средний
DWH_Vitrina_177,Средняя,55,5,82,10,3,Средний
DWH_Vitrina_178,Низкая,148,2,70,10,3,Низкий
DWH_Vitrina_179,Средняя,162,1,87,6,6,Средний
DWH_Vitrina_180,Низкая,61,16,95,8,7,Низкий
DWH_Vitrina_181,Средняя,127,1,75,6,7,Средний
DWH_Vitrina_182,Высокая,62,8,93,7,4,Низкий
DWH_Vitrina_183,Высокая,201,4,99,9,0,Низкий
DWH_Vitrina_184,Высокая,196,17,96,1,4,Низкий
DWH_Vitrina_185,Низкая,92,16,88,7,3,Низкий
DWH_Vitrina_186,Средняя,165,18,64,2,1,Низкий
DWH_Vitrina_187,Низкая,63,19,89,1,6,Низкий
DWH_Vitrina_188,Высокая,36,6,76,11,0,Низкий
DWH_Vitrina_189,Низкая,201,20,74,2,3,Низкий
DWH_Vitrina_190,Низкая,104,9,100,2,7,Низкий
DWH_Vitrina_191,Низкая,102,3,100,8,6,Низкий
DWH_Vitrina_192,Высокая,57,21,76,11,2,Низкий
DWH_Vitrina_193,Низкая,161,6,66,2,4,Низкий
DWH_Vitrina_194,Низкая,115,20,78,10,2,Низкий
DWH_Vitrina_195,Низкая,82,5,98,5,0,Низкий
DWH_Vitrina_196,Высокая,15,2,97,10,0,Низкий
DWH_Vitrina_197,Низкая,39,5,99,2,7,Низкий
DWH_Vitrina_198,Низкая,56,19,68,11,0,Низкий
DWH_Vitrina_199,Средняя,150,19,82,11,5,Средний
DWH_Vitrina_200,Низкая,28,12,63,1,5,Низкий
DWH_Vitrina_201,Средняя,43,21,66,8,4,Средний
DWH_Vitrina_202,Низкая,161,17,90,4,7,Низкий
DWH_Vitrina_203,Высокая,7,12,89,4,5,Высокий
DWH_Vitrina_204,Низкая,102,11,61,6,3,Низкий
DWH_Vitrina_205,Средняя,45,16,83,9,3,Средний
DWH_Vitrina_206,Низкая,114,6,98,3,5,Низкий
DWH_Vitrina_207,Высокая,140,20,62,4,4,Низкий
DWH_Vitrina_208,Средняя,173,6,83,3,3,Средний
DWH_Vitrina_209,Средняя,191,3,71,4,2,Низкий
DWH_Vitrina_210,Низкая,97,12,70,8,3,Низкий
DWH_Vitrina_211,Низкая,141,3,62,3,3,Низкий
DWH_Vitrina_212,Средняя,127,8,67,5,5,Средний
DWH_Vitrina_213,Высокая,154,8,101,7,1,Низкий
DWH_Vitrina_214,Высокая,187,10,71,5,5,Высокий
DWH_Vitrina_215,Высокая,58,2,64,10,2,Низкий
DWH_Vitrina_216,Низкая,12,6,88,1,1,Низкий
DWH_Vitrina_217,Высокая,55,6,69,7,3,Низкий
DWH_Vitrina_218,Низкая,102,20,79,4,4,Низкий
DWH_Vitrina_219,Средняя,33,15,75,9,6,Средний
DWH_Vitrina_220,Средняя,200,20,92,9,3,Средний
DWH_Vitrina_221,Высокая,75,7,92,7,6,Высокий
DWH_Vitrina_222,Низкая,123,21,98,2,1,Низкий
DWH_Vitrina_223,Средняя,55,18,66,5,7,Средний
DWH_Vitrina_224,Высокая,134,6,73,4,6,Высокий
DWH_Vitrina_225,Средняя,140,16,99,4,4,Средний
DWH_Vitrina_226,Низкая,52,19,85,3,3,Низкий
DWH_Vitrina_227,Низкая,10,16,100,1,4,Низкий
DWH_Vitrina_228,Низкая,50,18,101,10,7,Низкий
DWH_Vitrina_229,Высокая,74,8,75,5,2,Низкий
DWH_Vitrina_230,Средняя,165,9,71,7,0,Низкий
DWH_Vitrina_231,Средняя,140,3,90,2,2,Низкий
DWH_Vitrina_232,Средняя,175,19,69,4,0,Низкий
DWH_Vitrina_233,Низкая,63,18,80,2,0,Низкий
DWH_Vitrina_234,Низкая,88,13,98,5,1,Низкий
DWH_Vitrina_235,Низкая,126,5,79,9,2,Низкий
DWH_Vitrina_236,Высокая,146,16,87,5,6,Высокий
DWH_Vitrina_237,Средняя,81,13,66,2,0,Низкий
DWH_Vitrina_238,Средняя,126,16,63,8,6,Средний
DWH_Vitrina_239,Высокая,16,18,85,10,7,Высокий
DWH_Vitrina_240,Высокая,148,18,64,5,1,Низкий
DWH_Vitrina_241,Низкая,201,2,73,11,4,Низкий
DWH_Vitrina_242,Высокая,151,4,94,10,5,Высокий
DWH_Vitrina_243,Средняя,175,17,91,4,6,Средний
DWH_Vitrina_244,Высокая,134,16,72,8,1,Низкий
DWH_Vitrina_245,Средняя,33,17,65,1,7,Средний
DWH_Vitrina_246,Средняя,141,10,98,8,2,Низкий
DWH_Vitrina_247,Низкая,95,13,75,8,3,Низкий
DWH_Vitrina_248,Средняя,53,18,84,5,5,Средний
DWH_Vitrina_249,Высокая,179,6,82,1,7,Высокий
DWH_Vitrina_250,Средняя,155,1,68,2,0,Низкий
DWH_Vitrina_251,Высокая,62,11,63,10,5,Высокий
DWH_Vitrina_252,Средняя,178,3,100,9,3,Средний
DWH_Vitrina_253,Низкая,201,7,100,7,0,Низкий
DWH_Vitrina_254,Высокая,162,21,67,7,2,Низкий
DWH_Vitrina_255,Средняя,113,16,67,9,1,Низкий
DWH_Vitrina_256,Высокая,151,4,98,1,7,Высокий
DWH_Vitrina_257,Низкая,186,3,61,1,2,Низкий
DWH_Vitrina_258,Низкая,108,2,94,8,7,Низкий
DWH_Vitrina_259,Средняя,38,18,89,5,0,Низкий
DWH_Vitrina_260,Низкая,16,17,88,1,6,Низкий
DWH_Vitrina_261,Высокая,17,12,69,10,2,Низкий
DWH_Vitrina_262,Низкая,7,18,68,5,1,Низкий
DWH_Vitrina_263,Высокая,131,15,85,3,2,Низкий
DWH_Vitrina_264,Низкая,5,20,91,5,7,Низкий
DWH_Vitrina_265,Низкая,66,20,81,7,5,Низкий
DWH_Vitrina_266,Средняя,89,7,70,8,4,Средний
DWH_Vitrina_267,Высокая,82,20,100,9,1,Низкий
DWH_Vitrina_268,Высокая,141,14,76,2,3,Низкий
DWH_Vitrina_269,Высокая,156,16,68,7,7,Высокий
DWH_Vitrina_270,Низкая,123,6,77,7,7,Низкий
DWH_Vitrina_271,Низкая,35,13,71,10,5,Низкий
DWH_Vitrina_272,Низкая,40,5,87,5,2,Низкий
DWH_Vitrina_273,Низкая,9,10,77,6,5,Низкий
DWH_Vitrina_274,Высокая,59,9,90,1,5,Высокий
DWH_Vitrina_275,Средняя,88,11,73,1,2,Низкий
DWH_Vitrina_276,Низкая,105,3,70,11,4,Низкий
DWH_Vitrina_277,Высокая,69,9,88,7,4,Низкий
DWH_Vitrina_278,Высокая,191,6,63,7,1,Низкий
DWH_Vitrina_279,Низкая,185,15,86,2,4,Низкий
DWH_Vitrina_280,Высокая,95,9,73,11,0,Низкий
DWH_Vitrina_281,Средняя,169,8,80,6,4,Средний
DWH_Vitrina_282,Низкая,136,18,79,5,3,Низкий
DWH_Vitrina_283,Средняя,102,16,74,3,3,Средний
DWH_Vitrina_284,Низкая,154,9,71,6,2,Низкий
DWH_Vitrina_285,Средняя,39,8,63,11,6,Средний
DWH_Vitrina_286,Средняя,135,15,79,5,0,Низкий
DWH_Vitrina_287,Средняя,182,3,73,11,4,Средний
DWH_Vitrina_288,Высокая,96,17,88,11,5,Высокий
DWH_Vitrina_289,Низкая,34,2,80,4,6,Низкий
DWH_Vitrina_290,Высокая,80,14,72,4,7,Высокий
DWH_Vitrina_291,Высокая,199,20,94,5,0,Низкий
DWH_Vitrina_292,Высокая,162,10,93,2,7,Высокий
DWH_Vitrina_293,Низкая,192,6,85,6,5,Низкий
DWH_Vitrina_294,Высокая,75,13,100,5,6,Высокий
DWH_Vitrina_295,Низкая,141,16,100,3,5,Низкий
DWH_Vitrina_296,Низкая,48,11,85,1,7,Низкий
DWH_Vitrina_297,Высокая,134,10,76,8,6,Высокий
DWH_Vitrina_298,Средняя,8,7,63,7,4,Средний
DWH_Vitrina_299,Низкая,119,12,87,1,0,Низкий
DWH_Vitrina_300,Высокая,154,21,62,3,5,Высокий
DWH_Vitrina_301,Высокая,102,11,85,5,5,Высокий
DWH_Vitrina_302,Низкая,73,21,71,5,3,Низкий
DWH_Vitrina_303,Средняя,153,8,70,2,3,Средний
DWH_Vitrina_304,Низкая,164,15,82,1,1,Низкий
DWH_Vitrina_305,Средняя,57,21,75,10,0,Низкий
DWH_Vitrina_306,Низкая,154,18,91,8,0,Низкий
DWH_Vitrina_307,Средняя,136,20,83,11,2,Низкий
DWH_Vitrina_308,Средняя,128,20,76,2,2,Низкий
DWH_Vitrina_309,Низкая,42,8,78,11,0,Низкий
DWH_Vitrina_310,Высокая,82,8,84,10,0,Низкий
DWH_Vitrina_311,Средняя,35,14,70,2,2,Низкий
DWH_Vitrina_312,Низкая,13,1,67,2,1,Низкий
DWH_Vitrina_313,Средняя,93,20,92,9,7,Средний
DWH_Vitrina_314,Высокая,139,13,80,3,0,Низкий
DWH_Vitrina_315,Средняя,137,18,78,4,6,Средний
DWH_Vitrina_316,Низкая,151,10,85,3,0,Низкий
DWH_Vitrina_317,Средняя,23,1,83,2,6,Средний
DWH_Vitrina_318,Высокая,69,7,69,2,6,Высокий
DWH_Vitrina_319,Низкая,121,16,85,2,3,Низкий
DWH_Vitrina_320,Высокая,187,17,96,3,7,Высокий
DWH_Vitrina_321,Высокая,63,6,90,9,7,Высокий
DWH_Vitrina_322,Низкая,122,15,88,4,3,Низкий
DWH_Vitrina_323,Средняя,29,11,101,6,3,Средний
DWH_Vitrina_324,Высокая,8,17,61,10,6,Высокий
DWH_Vitrina_325,Средняя,200,12,77,10,3,Средний
DWH_Vitrina_326,Средняя,116,15,62,1,7,Средний
DWH_Vitrina_327,Низкая,152,2,80,8,5,Низкий
DWH_Vitrina_328,Низкая,15,1,85,10,0,Низкий
DWH_Vitrina_329,Высокая,182,3,72,11,0,Низкий
DWH_Vitrina_330,Средняя,141,6,66,2,2,Низкий
DWH_Vitrina_331,Высокая,6,14,100,3,5,Высокий
DWH_Vitrina_332,Низкая,134,2,71,5,5,Низкий
DWH_Vitrina_333,Низкая,78,20,87,5,7,Низкий
DWH_Vitrina_334,Низкая,143,10,71,5,6,Низкий
DWH_Vitrina_335,Высокая,143,5,80,8,2,Низкий
DWH_Vitrina_336,Низкая,131,15,89,3,6,Низкий
DWH_Vitrina_337,Высокая,120,13,101,10,7,Высокий
DWH_Vitrina_338,Низкая,143,7,78,9,3,Низкий
DWH_Vitrina_339,Низкая,67,9,81,9,0,Низкий
DWH_Vitrina_340,Высокая,133,18,94,10,4,Низкий
DWH_Vitrina_341,Низкая,39,19,95,1,5,Низкий
DWH_Vitrina_342,Высокая,121,11,90,8,6,Высокий
DWH_Vitrina_343,Средняя,196,21,93,3,6,Средний
DWH_Vitrina_344,Высокая,173,9,74,1,6,Высокий
DWH_Vitrina_345,Средняя,143,2,84,11,2,Низкий
DWH_Vitrina_346,Средняя,131,8,93,2,2,Низкий
DWH_Vitrina_347,Низкая,176,4,81,8,2,Низкий
DWH_Vitrina_348,Низкая,33,20,60,3,1,Низкий
DWH_Vitrina_349,Высокая,93,11,64,5,4,Низкий
DWH_Vitrina_350,Высокая,86,5,75,2,3,Низкий
DWH_Vitrina_351,Низкая,159,17,83,10,5,Низкий
DWH_Vitrina_352,Высокая,135,2,86,9,2,Низкий
DWH_Vitrina_353,Низкая,94,20,91,1,6,Низкий
DWH_Vitrina_354,Низкая,58,3,70,2,0,Низкий
DWH_Vitrina_355,Средняя,100,11,87,1,6,Средний
DWH_Vitrina_356,Низкая,163,12,84,6,7,Низкий
DWH_Vitrina_357,Низкая,126,8,86,3,5,Низкий
DWH_Vitrina_358,Средняя,79,8,85,11,2,Низкий
DWH_Vitrina_359,Высокая,57,10,94,11,6,Высокий
DWH_Vitrina_360,Средняя,192,16,66,8,2,Низкий
DWH_Vitrina_361,Низкая,46,5,80,2,6,Низкий
DWH_Vitrina_362,Средняя,61,6,91,2,1,Низкий
DWH_Vitrina_363,Средняя,122,12,82,5,4,Средний
DWH_Vitrina_364,Средняя,145,13,80,7,5,Средний
DWH_Vitrina_365,Низкая,8,19,79,1,2,Низкий
DWH_Vitrina_366,Низкая,64,9,66,8,4,Низкий
DWH_Vitrina_367,Низкая,85,2,88,8,6,Низкий
DWH_Vitrina_368,Средняя,97,21,66,2,3,Средний
DWH_Vitrina_369,Средняя,170,8,77,9,6,Средний
DWH_Vitrina_370,Высокая,110,17,78,2,6,Высокий
DWH_Vitrina_371,Средняя,158,14,68,2,1,Низкий
DWH_Vitrina_372,Низкая,64,18,71,7,6,Низкий
DWH_Vitrina_373,Низкая,166,11,75,10,1,Низкий
DWH_Vitrina_374,Низкая,148,21,60,6,4,Низкий
DWH_Vitrina_375,Высокая,106,6,95,7,5,Высокий
DWH_Vitrina_376,Высокая,106,4,80,1,3,Низкий
DWH_Vitrina_377,Средняя,71,5,70,7,7,Средний
DWH_Vitrina_378,Низкая,134,6,64,7,3,Низкий
DWH_Vitrina_379,Низкая,27,2,86,3,1,Низкий
DWH_Vitrina_380,Средняя,146,11,64,6,7,Средний
DWH_Vitrina_381,Высокая,171,9,74,8,6,Высокий
DWH_Vitrina_382,Высокая,83,21,64,4,0,Низкий
DWH_Vitrina_383,Средняя,134,15,60,11,6,Средний
DWH_Vitrina_384,Средняя,53,13,60,10,4,Средний
DWH_Vitrina_385,Низкая,201,3,93,11,0,Низкий
DWH_Vitrina_386,Высокая,181,1,71,1,4,Низкий
DWH_Vitrina_387,Высокая,197,8,67,10,5,Высокий
DWH_Vitrina_388,Низкая,140,14,68,5,5,Низкий
DWH_Vitrina_389,Высокая,58,6,86,9,6,Высокий
DWH_Vitrina_390,Высокая,153,21,86,7,3,Низкий
DWH_Vitrina_391,Низкая,172,7,100,6,0,Низкий
DWH_Vitrina_392,Высокая,161,14,65,4,1,Низкий
DWH_Vitrina_393,Высокая,67,16,87,5,1,Низкий
DWH_Vitrina_394,Средняя,69,3,76,5,6,Средний
DWH_Vitrina_395,Средняя,167,1,91,11,7,Средний
DWH_Vitrina_396,Средняя,110,9,67,7,0,Низкий
DWH_Vitrina_397,Высокая,200,8,62,8,5,Высокий
DWH_Vitrina_398,Низкая,64,1,70,3,5,Низкий
DWH_Vitrina_399,Низкая,195,2,77,2,4,Низкий
DWH_Vitrina_400,Средняя,165,20,92,8,7,Средний
DWH_Vitrina_401,Низкая,176,7,69,5,1,Низкий
DWH_Vitrina_402,Средняя,98,11,82,8,4,Средний
DWH_Vitrina_403,Средняя,64,3,70,7,6,Средний
DWH_Vitrina_404,Средняя,184,1,92,7,0,Низкий
DWH_Vitrina_405,Низкая,188,12,75,7,0,Низкий
DWH_Vitrina_406,Средняя,132,13,98,3,6,Средний
DWH_Vitrina_407,Низкая,114,13,61,11,4,Низкий
DWH_Vitrina_408,Высокая,20,10,74,2,0,Низкий
DWH_Vitrina_409,Низкая,10,3,83,8,3,Низкий
DWH_Vitrina_410,Средняя,70,5,80,9,1,Низкий
DWH_Vitrina_411,Средняя,12,4,93,5,5,Средний
DWH_Vitrina_412,Средняя,121,6,81,10,7,Средний
DWH_Vitrina_413,Средняя,170,12,72,8,7,Средний
DWH_Vitrina_414,Низкая,19,2,73,11,5,Низкий
DWH_Vitrina_415,Высокая,34,8,92,10,3,Низкий
DWH_Vitrina_416,Средняя,194,4,84,2,3,Средний
DWH_Vitrina_417,Средняя,127,15,60,8,7,Средний
DWH_Vitrina_418,Средняя,150,11,69,2,4,Средний
DWH_Vitrina_419,Средняя,78,17,82,9,1,Низкий
DWH_Vitrina_420,Низкая,13,10,101,2,1,Низкий
DWH_Vitrina_421,Низкая,39,18,94,5,4,Низкий
DWH_Vitrina_422,Низкая,76,3,72,11,6,Низкий
DWH_Vitrina_423,Низкая,57,16,83,2,2,Низкий
DWH_Vitrina_424,Высокая,192,17,67,2,3,Низкий
DWH_Vitrina_425,Высокая,180,1,75,5,1,Низкий
DWH_Vitrina_426,Высокая,158,16,86,11,7,Высокий
DWH_Vitrina_427,Низкая,197,16,65,6,4,Низкий
DWH_Vitrina_428,Низкая,98,5,96,2,0,Низкий
DWH_Vitrina_429,Высокая,74,18,80,7,3,Низкий
DWH_Vitrina_430,Низкая,149,12,93,2,3,Низкий
DWH_Vitrina_431,Высокая,101,13,70,2,5,Высокий
DWH_Vitrina_432,Высокая,170,15,70,1,7,Высокий
DWH_Vitrina_433,Низкая,150,7,69,3,3,Низкий
DWH_Vitrina_434,Низкая,137,10,81,6,7,Низкий
DWH_Vitrina_435,Средняя,169,8,98,9,1,Низкий
DWH_Vitrina_436,Высокая,20,2,101,5,1,Низкий
